id,city,address,area,year,floors,type,passability,revenue,quantity,gain
4860,Владивосток,"ул. Адмирала Юмашева, д. 16а","4111,2",1961,5,0,34764,"3530133,5",0,"2632,54172770295"
4859,Владивосток,"ул. Адмирала Юмашева, д. 16","4274,99",1962,5,0,85688,"4104368,5",1,"3433,57246982577"
4858,Владивосток,"ул. Адмирала Юмашева, д. 14в","2049,71",1961,4,0,67690,"1998688,25",0,"1490,4904357851"
4857,Владивосток,"ул. Адмирала Юмашева, д. 14б","3992,2",1961,5,0,71995,"3822998,5",1,"2855,41914713194"
4856,Владивосток,"ул. Адмирала Юмашева, д. 14а","2272,3",1961,5,0,27506,2158596,0,"1609,73913401651"
4855,Владивосток,"ул. Адмирала Юмашева, д. 14","2072,5",1962,5,0,62974,"2014333,375",0,"1502,15754253832"
4854,Владивосток,"ул. Адмирала Юмашева, д. 12а","2047,7",1966,9,0,41102,"1964686,25",0,"1465,13397721906"
4853,Владивосток,"ул. Адмирала Юмашева, д. 12","2085,9",1966,9,0,26680,"1983037,375",0,"1478,8190410595"
4852,Владивосток,"ул. Адмирала Юмашева, д. 11","5260,3",1988,9,0,100178,5044599,1,"5365,53887588568"
4851,Владивосток,"ул. Адмирала Юмашева, д. 10а","8410,8",1992,10,0,51881,5480327,1,"6260,86386074809"
4850,Владивосток,"ул. Адмирала Юмашева, д. 10",6289,1989,9,0,87061,"5992112,5",1,"7312,47024142663"
4849,Владивосток,"ул. Адмирала Фокина, д. 9в","469,73",1918,3,0,20805,462424,0,"344,845450148361"
4848,Владивосток,"ул. Адмирала Фокина, д. 9а","1349,21",1918,2,1,28296,"1292926,5",0,"964,179672554289"
4847,Владивосток,"ул. Адмирала Фокина, д. 9, стр. 6","571,73",1918,2,0,25858,"564049,5",0,"420,631073935302"
4846,Владивосток,"ул. Адмирала Фокина, д. 9, стр. 1","1316,59",1918,2,0,21968,1256899,0,"937,312729110134"
4845,Владивосток,"ул. Адмирала Фокина, д. 8","598,5",1920,2,0,31127,"595484,5625",0,"444,073279093888"
4844,Владивосток,"ул. Адмирала Фокина, д. 7а","562,6",1918,4,0,25812,"555443,875",0,"414,213563972728"
4843,Владивосток,"ул. Адмирала Фокина, д. 7","230,8",1918,2,0,18577,"235978,578125",0,"175,977326001431"
4842,Владивосток,"ул. Адмирала Фокина, д. 6б",100,1960,1,0,11183,"104554,2265625",0,"77,9696757172185"
4841,Владивосток,"ул. Адмирала Фокина, д. 6","1259,5",1917,3,0,41986,"1227618,125",0,"915,476975515786"
4840,Владивосток,"ул. Адмирала Фокина, д. 5","805,6",1920,2,0,21906,"778290,625",0,"580,398034973042"
4839,Владивосток,"ул. Адмирала Фокина, д. 4г","700,4",1918,3,3,36830,"691305,8125",0,"515,530474416857"
4838,Владивосток,"ул. Адмирала Фокина, д. 4в","814,4",1918,2,0,28842,"794910,8125",0,"592,792279302895"
7870,Владивосток,"ул. Адмирала Фокина, д. 4",9617,1978,9,0,120477,9149098,1,"13799,3794944431"
4837,Владивосток,"ул. Адмирала Фокина, д. 3а",100,1918,1,0,11624,"105086,96875",0,"78,3669598535554"
4836,Владивосток,"ул. Адмирала Фокина, д. 31","3263,2",1962,5,0,35837,3096621,0,"2309,25657553212"
4835,Владивосток,"ул. Адмирала Фокина, д. 3","1662,65",1918,4,0,32234,"1593380,25",0,"1188,23834742305"
4834,Владивосток,"ул. Адмирала Фокина, д. 29","2394,4",1963,5,0,49448,"2299447,5",0,"1714,77693249058"
4833,Владивосток,"ул. Адмирала Фокина, д. 27","4405,3",1957,5,0,63758,4199908,1,"3629,88508088419"
7869,Владивосток,"ул. Адмирала Фокина, д. 25","8242,4",1978,9,0,72149,7222885,1,"9841,43640823613"
4832,Владивосток,"ул. Адмирала Фокина, д. 24","655,28",1918,3,0,33218,"651184,125",0,"485,610354815259"
4831,Владивосток,"ул. Адмирала Фокина, д. 23, стр. 2","637,8",1918,2,0,35635,"637734,1875",0,"475,580274733657"
4830,Владивосток,"ул. Адмирала Фокина, д. 23, стр. 1","250,1",1918,3,6,8122,"228430,84375",0,"170,348721391491"
4829,Владивосток,"ул. Адмирала Фокина, д. 22",1410,1938,5,0,38813,"1364725,625",0,"1017,72274467183"
7868,Владивосток,"ул. Адмирала Фокина, д. 20","8965,7",1978,9,0,137024,8559156,1,"12587,1787356676"
4828,Владивосток,"ул. Адмирала Фокина, д. 17","621,63",1918,4,0,36480,"623612,0625",0,"465,048921359532"
4827,Владивосток,"ул. Адмирала Фокина, д. 11в","245,1",1918,2,0,18913,"249776,15625",0,"186,266653630345"
4826,Владивосток,"ул. Адмирала Фокина, д. 11","184,3",1918,2,0,14874,"187958,671875",0,"140,16723356059"
4825,Владивосток,"ул. Адмирала Фокина, д. 10а",100,1960,1,0,12995,"106743,21875",0,"79,6020823316452"
4824,Владивосток,"ул. Адмирала Угрюмова, д. 7","4693,2",1987,5,0,59896,"4464856,5",1,"4174,29584115623"
4823,Владивосток,"ул. Адмирала Угрюмова, д. 6","4011,7",1979,5,0,75612,"3845629,25",1,"2901,92034949024"
4822,Владивосток,"ул. Адмирала Угрюмова, д. 5 А","1101,1",2004,3,0,34171,"1069838,125",0,"797,81501349736"
4821,Владивосток,"ул. Адмирала Угрюмова, д. 5","3425,1",1978,5,0,68279,"3287429,5",0,"2451,54902374985"
4820,Владивосток,"ул. Адмирала Угрюмова, д. 4",1048,1978,4,0,28911,"1013756,625",0,"755,993113871702"
4819,Владивосток,"ул. Адмирала Угрюмова, д. 3",2993,1980,5,0,77206,"2893559,5",0,"2157,8266446131"
4818,Владивосток,"ул. Адмирала Угрюмова, д. 2","682,3",1964,2,3,15989,"649178,4375",0,"484,11464479849"
4817,Владивосток,"ул. Адмирала Угрюмова, д. 1","691,2",1959,2,0,34656,"686559,6875",0,"511,991126087001"
4816,Владивосток,"ул. Адмирала Смирнова, д. 18","22141,2",2013,10,0,207654,20204010,1,"35941,7133104182"
4815,Владивосток,"ул. Адмирала Смирнова, д. 16","22134,9",2013,10,0,149720,15851028,1,"27570,3682208938"
4814,Владивосток,"ул. Адмирала Смирнова, д. 14","22190,6",2014,1,0,80282,"8362502,5",1,"12183,0991449353"
4813,Владивосток,"ул. Адмирала Макарова, д. 41",87,1958,1,0,9941,"90879,546875",0,"67,7719976718087"
4812,Владивосток,"ул. Адмирала Макарова, д. 39","93,2",1958,1,0,12684,"99999,4453125",0,"74,5730189898783"
4811,Владивосток,"ул. Адмирала Макарова, д. 37а","112,8",1960,2,0,8260,"113010,078125",0,"84,275494486266"
4810,Владивосток,"ул. Адмирала Макарова, д. 37","81,8",1958,1,0,11644,"88067,125",0,"65,6746781393201"
4809,Владивосток,"ул. Адмирала Кузнецова, д. 92","27430,7",1990,10,0,146203,15402434,1,"26648,6064423086"
4808,Владивосток,"ул. Адмирала Кузнецова, д. 90","24140,8",1989,10,7,176821,18723724,1,"33473,1252223128"
4807,Владивосток,"ул. Адмирала Кузнецова, д. 88","36313,06",1989,10,0,158425,16604085,1,"29117,7343463792"
4806,Владивосток,"ул. Адмирала Кузнецова, д. 86а","3338,3",2008,10,0,56036,"3191352,75",0,"2379,90129330649"
4805,Владивосток,"ул. Адмирала Кузнецова, д. 84","25405,5",1984,9,0,84455,8770402,1,"13021,2426970202"
4804,Владивосток,"ул. Адмирала Кузнецова, д. 82","19564,1",1983,9,0,142462,15102027,1,"26031,3362812733"
4803,Владивосток,"ул. Адмирала Кузнецова, д. 80","19884,3",1983,9,0,112839,11903460,1,"19458,9862122936"
4802,Владивосток,"ул. Адмирала Кузнецова, д. 78","18931,9",1982,9,0,132363,14021288,1,"23810,6558824575"
4801,Владивосток,"ул. Адмирала Кузнецова, д. 74","19354,14",1983,9,0,180387,17595534,1,"31154,9434789501"
4800,Владивосток,"ул. Адмирала Кузнецова, д. 72","4079,2",1966,5,0,94475,"3931629,5",1,"3078,63190470223"
4799,Владивосток,"ул. Адмирала Кузнецова, д. 70","3954,3",1965,5,0,56978,"3769364,25",0,"2810,9443099069"
4798,Владивосток,"ул. Адмирала Кузнецова, д. 68 а","3607,94",1972,5,0,78386,"3470865,75",0,"2588,34373207982"
