id,city-address,type,passability,area,Average of money,Average of profit,Average of our_clients,Count of Index
6136,"г. Хабаровск, ул. Комсомольская, д. 70",0,16972,521.2,,,,
6137,"г. Хабаровск, ул. Комсомольская, д. 74",0,91749,5067.9,,,,
6138,"г. Хабаровск, ул. Комсомольская, д. 75 Б",0,12713,100,,,,
6139,"г. Хабаровск, ул. Комсомольская, д. 8",0,41024,1015.5,,,,
6140,"г. Хабаровск, ул. Комсомольская, д. 84",0,17607,398.4,,,,
6141,"г. Хабаровск, ул. Комсомольская, д. 85",6,25268,1242.2,,,,
6142,"г. Хабаровск, ул. Комсомольская, д. 85а",0,102807,6086.8,,,,
6143,"г. Хабаровск, ул. Комсомольская, д. 90",0,60941,2033.6,,,,
6144,"г. Хабаровск, ул. Комсомольская, д. 92",0,10224,188.4,,,,
6145,"г. Хабаровск, ул. Кооперативная, д. 1",0,94004,5969.1,,,,
6146,"г. Хабаровск, ул. Кооперативная, д. 3",0,45551,2004.3,,,,
6147,"г. Хабаровск, ул. Кооперативная, д. 4",0,32910,481.7,,,,
6148,"г. Хабаровск, ул. Кооперативная, д. 5",5,103276,10633.5,,,,
6149,"г. Хабаровск, ул. Корейская, д. 1, стр. Г",0,5765,71.7,,,,
6150,"г. Хабаровск, ул. Королева, д. 11",0,29058,2933.6,,,,
6151,"г. Хабаровск, ул. Королева, д. 12",0,86743,3784.6,,,,
6152,"г. Хабаровск, ул. Королева, д. 12а",0,40656,4104.1,,,,
6153,"г. Хабаровск, ул. Королева, д. 12б",0,41236,3839.9,,,,
6154,"г. Хабаровск, ул. Королева, д. 13",0,49516,2916.6,,,,
6155,"г. Хабаровск, ул. Королева, д. 14",0,86168,4563.7,,,,
6156,"г. Хабаровск, ул. Королева, д. 2а",0,75396,4581.2,,,,
6157,"г. Хабаровск, ул. Королева, д. 4",0,48627,3331.8,,,,
6158,"г. Хабаровск, ул. Королева, д. 4а",0,35362,4526.6,,,,
6159,"г. Хабаровск, ул. Королева, д. 6",3,70072,3345.8,,,,
6160,"г. Хабаровск, ул. Королева, д. 7 повтор",0,67701,2366.8,,,,
6161,"г. Хабаровск, ул. Королева, д. 8а",0,54493,4581.3,,,,
